y;ds
52.8;2024-03-20 16:45:00
53.75;2024-03-21 09:00:00
53.5;2024-03-21 09:05:00
53.5;2024-03-21 09:10:00
53.4;2024-03-21 09:15:00
53.35;2024-03-21 09:20:00
53.45;2024-03-21 09:25:00
53.45;2024-03-21 09:30:00
53.45;2024-03-21 09:35:00
53.5;2024-03-21 09:40:00
53.5;2024-03-21 09:45:00
53.45;2024-03-21 09:50:00
53.4;2024-03-21 09:55:00
53.35;2024-03-21 10:00:00
53.15;2024-03-21 10:05:00
53.4;2024-03-21 10:10:00
53.4;2024-03-21 10:15:00
53.35;2024-03-21 10:20:00
53.4;2024-03-21 10:25:00
53.3;2024-03-21 10:30:00
53.2;2024-03-21 10:35:00
53.25;2024-03-21 10:40:00
53.25;2024-03-21 10:45:00
53.05;2024-03-21 10:50:00
53.2;2024-03-21 10:55:00
53.1;2024-03-21 11:00:00
53.35;2024-03-21 11:05:00
53.25;2024-03-21 11:10:00
53.15;2024-03-21 11:15:00
53.25;2024-03-21 11:20:00
53.05;2024-03-21 11:25:00
53.35;2024-03-21 11:30:00
53.3;2024-03-21 11:35:00
53.3;2024-03-21 11:40:00
53.3;2024-03-21 11:45:00
53.25;2024-03-21 11:50:00
53.3;2024-03-21 11:55:00
53.3;2024-03-21 12:00:00
53.4;2024-03-21 12:05:00
53.35;2024-03-21 12:10:00
53.25;2024-03-21 12:15:00
53.2;2024-03-21 12:20:00
53.3;2024-03-21 12:25:00
53.35;2024-03-21 12:30:00
53.6;2024-03-21 12:35:00
53.65;2024-03-21 12:40:00
53.7;2024-03-21 12:45:00
53.6;2024-03-21 12:50:00
53.7;2024-03-21 12:55:00
53.6;2024-03-21 13:00:00
53.6;2024-03-21 13:05:00
53.7;2024-03-21 13:10:00
53.7;2024-03-21 13:15:00
53.7;2024-03-21 13:20:00
53.7;2024-03-21 13:25:00
53.75;2024-03-21 13:30:00
53.6;2024-03-21 13:35:00
53.6;2024-03-21 13:40:00
53.5;2024-03-21 13:45:00
53.5;2024-03-21 13:50:00
53.55;2024-03-21 13:55:00
53.6;2024-03-21 14:00:00
53.5;2024-03-21 14:05:00
53.6;2024-03-21 14:10:00
53.55;2024-03-21 14:15:00
53.55;2024-03-21 14:20:00
53.55;2024-03-21 14:25:00
53.6;2024-03-21 14:30:00
53.6;2024-03-21 14:35:00
53.5;2024-03-21 14:40:00
53.55;2024-03-21 14:45:00
53.5;2024-03-21 14:50:00
53.45;2024-03-21 14:55:00
53.55;2024-03-21 15:00:00
53.5;2024-03-21 15:05:00
53.5;2024-03-21 15:10:00
53.5;2024-03-21 15:15:00
53.55;2024-03-21 15:20:00
53.55;2024-03-21 15:25:00
53.5;2024-03-21 15:30:00
53.45;2024-03-21 15:35:00
53.55;2024-03-21 15:40:00
53.6;2024-03-21 15:45:00
53.45;2024-03-21 15:50:00
53.45;2024-03-21 15:55:00
53.5;2024-03-21 16:00:00
53.35;2024-03-21 16:05:00
53.4;2024-03-21 16:10:00
53.3;2024-03-21 16:15:00
53.3;2024-03-21 16:20:00
53.45;2024-03-21 16:25:00
53.5;2024-03-21 16:30:00
53.5;2024-03-21 16:35:00
53.5;2024-03-21 16:40:00
53.4;2024-03-21 16:45:00
53.45;2024-03-22 09:00:00
53.45;2024-03-22 09:05:00
53.35;2024-03-22 09:10:00
53.65;2024-03-22 09:15:00
53.5;2024-03-22 09:20:00
53.85;2024-03-22 09:25:00
53.8;2024-03-22 09:30:00
53.95;2024-03-22 09:35:00
53.9;2024-03-22 09:40:00
53.95;2024-03-22 09:45:00
53.95;2024-03-22 09:50:00
54.0;2024-03-22 09:55:00
54.2;2024-03-22 10:00:00
54.0;2024-03-22 10:05:00
53.9;2024-03-22 10:10:00
53.85;2024-03-22 10:15:00
53.75;2024-03-22 10:20:00
53.9;2024-03-22 10:25:00
53.95;2024-03-22 10:30:00
53.95;2024-03-22 10:35:00
53.75;2024-03-22 10:40:00
53.9;2024-03-22 10:45:00
53.8;2024-03-22 10:50:00
53.8;2024-03-22 10:55:00
53.95;2024-03-22 11:00:00
53.95;2024-03-22 11:05:00
53.95;2024-03-22 11:10:00
53.95;2024-03-22 11:15:00
54.0;2024-03-22 11:20:00
53.9;2024-03-22 11:25:00
53.85;2024-03-22 11:30:00
54.0;2024-03-22 11:35:00
53.95;2024-03-22 11:40:00
53.9;2024-03-22 11:45:00
53.95;2024-03-22 11:50:00
53.9;2024-03-22 11:55:00
54.0;2024-03-22 12:00:00
54.0;2024-03-22 12:05:00
53.95;2024-03-22 12:10:00
53.95;2024-03-22 12:15:00
53.9;2024-03-22 12:20:00
53.95;2024-03-22 12:25:00
53.8;2024-03-22 12:30:00
53.8;2024-03-22 12:35:00
53.8;2024-03-22 12:40:00
53.9;2024-03-22 12:45:00
53.9;2024-03-22 12:50:00
53.75;2024-03-22 12:55:00
53.7;2024-03-22 13:00:00
53.8;2024-03-22 13:05:00
53.8;2024-03-22 13:10:00
53.85;2024-03-22 13:15:00
53.75;2024-03-22 13:20:00
53.95;2024-03-22 13:25:00
53.65;2024-03-22 13:30:00
53.65;2024-03-22 13:35:00
53.7;2024-03-22 13:40:00
53.9;2024-03-22 13:45:00
53.8;2024-03-22 13:50:00
53.9;2024-03-22 13:55:00
53.9;2024-03-22 14:00:00
53.8;2024-03-22 14:05:00
53.8;2024-03-22 14:10:00
53.7;2024-03-22 14:15:00
53.85;2024-03-22 14:20:00
53.6;2024-03-22 14:25:00
53.8;2024-03-22 14:30:00
53.75;2024-03-22 14:35:00
53.95;2024-03-22 14:40:00
53.8;2024-03-22 14:45:00
53.9;2024-03-22 14:50:00
53.85;2024-03-22 14:55:00
53.8;2024-03-22 15:00:00
53.8;2024-03-22 15:05:00
53.85;2024-03-22 15:10:00
53.85;2024-03-22 15:15:00
53.8;2024-03-22 15:20:00
53.75;2024-03-22 15:25:00
53.9;2024-03-22 15:30:00
53.75;2024-03-22 15:35:00
53.75;2024-03-22 15:40:00
53.95;2024-03-22 15:45:00
53.8;2024-03-22 15:50:00
53.8;2024-03-22 15:55:00
53.7;2024-03-22 16:00:00
53.85;2024-03-22 16:05:00
53.85;2024-03-22 16:10:00
53.75;2024-03-22 16:15:00
53.65;2024-03-22 16:20:00
53.85;2024-03-22 16:25:00
53.85;2024-03-22 16:30:00
53.85;2024-03-22 16:35:00
54.05;2024-03-22 16:40:00
53.9;2024-03-22 16:45:00
54.35;2024-03-25 09:00:00
54.45;2024-03-25 09:05:00
54.15;2024-03-25 09:10:00
54.3;2024-03-25 09:15:00
54.25;2024-03-25 09:20:00
54.2;2024-03-25 09:25:00
54.15;2024-03-25 09:30:00
