y;ds
1.564;2024-03-20 16:45:00
1.59;2024-03-21 09:00:00
1.582;2024-03-21 09:05:00
1.588;2024-03-21 09:10:00
1.572;2024-03-21 09:15:00
1.57;2024-03-21 09:20:00
1.572;2024-03-21 09:25:00
1.572;2024-03-21 09:30:00
1.572;2024-03-21 09:35:00
1.586;2024-03-21 09:40:00
1.596;2024-03-21 09:45:00
1.588;2024-03-21 09:50:00
1.592;2024-03-21 09:55:00
1.586;2024-03-21 10:00:00
1.584;2024-03-21 10:05:00
1.584;2024-03-21 10:10:00
1.586;2024-03-21 10:15:00
1.58;2024-03-21 10:20:00
1.586;2024-03-21 10:25:00
1.582;2024-03-21 10:30:00
1.584;2024-03-21 10:35:00
1.584;2024-03-21 10:40:00
1.58;2024-03-21 10:45:00
1.58;2024-03-21 10:50:00
1.58;2024-03-21 10:55:00
1.58;2024-03-21 11:00:00
1.588;2024-03-21 11:05:00
1.588;2024-03-21 11:10:00
1.588;2024-03-21 11:15:00
1.58;2024-03-21 11:20:00
1.58;2024-03-21 11:25:00
1.58;2024-03-21 11:30:00
1.58;2024-03-21 11:35:00
1.58;2024-03-21 11:40:00
1.578;2024-03-21 11:45:00
1.574;2024-03-21 11:50:00
1.572;2024-03-21 11:55:00
1.574;2024-03-21 12:00:00
1.576;2024-03-21 12:05:00
1.576;2024-03-21 12:10:00
1.582;2024-03-21 12:15:00
1.59;2024-03-21 12:20:00
1.59;2024-03-21 12:25:00
1.59;2024-03-21 12:30:00
1.588;2024-03-21 12:35:00
1.588;2024-03-21 12:40:00
1.588;2024-03-21 12:45:00
1.59;2024-03-21 12:50:00
1.59;2024-03-21 12:55:00
1.59;2024-03-21 13:00:00
1.59;2024-03-21 13:05:00
1.59;2024-03-21 13:10:00
1.584;2024-03-21 13:15:00
1.586;2024-03-21 13:20:00
1.594;2024-03-21 13:25:00
1.592;2024-03-21 13:30:00
1.592;2024-03-21 13:35:00
1.592;2024-03-21 13:40:00
1.592;2024-03-21 13:45:00
1.592;2024-03-21 13:50:00
1.592;2024-03-21 13:55:00
1.592;2024-03-21 14:00:00
1.584;2024-03-21 14:05:00
1.592;2024-03-21 14:10:00
